Date,Open,High,Low,Close,Adj Close,Volume
5/2/2008,128.028397,133.183273,128.028397,132.522141,118.407898,5075624
5/5/2008,134.141418,134.141418,128.200867,131.458588,117.457634,8766882
5/6/2008,130.883698,132.608368,129.063202,130.58667,116.678581,3871323
5/7/2008,130.58667,131.056168,127.664307,130.251312,116.378929,3044388
5/8/2008,130.308807,130.308807,126.524101,128.162537,114.512627,4259559
5/9/2008,129.350647,129.350647,126.667824,128.267944,114.606804,1974298
5/12/2008,130.308807,130.308807,126.715736,128.220032,114.563995,2305346
5/13/2008,129.321915,129.321915,125.038963,127.654724,114.058891,3985292
5/14/2008,126.476196,130.117172,126.476196,128.143387,114.495522,4547368
5/15/2008,129.235672,130.270477,125.144363,126.466614,112.997322,4621229
5/16/2008,126.092934,129.446472,126.092934,128.737442,115.026306,3070125
5/20/2008,128.679947,130.672913,126.504936,130.030945,116.182045,1838563
5/21/2008,129.350647,133.183273,127.865517,131.995163,117.937057,2364627
5/22/2008,129.350647,129.350647,125.901306,126.677406,113.185677,3720032
5/23/2008,127.434349,127.434349,121.072212,122.174088,109.161972,2128887
5/26/2008,121.972878,121.972878,118.427711,118.935532,106.268349,3436528
5/27/2008,119.194229,122.643585,117.948631,120.99556,108.108963,3041393
5/28/2008,120.72728,123.783783,117.134201,121.790825,108.819527,5394279
5/29/2008,120.535645,122.662743,111.193657,111.787712,99.881805,12390693
5/30/2008,114.211838,116.703033,109.631866,110.321739,98.57196,6173909
6/2/2008,111.145744,113.042892,106.584938,108.165894,96.645721,2904483
6/3/2008,107.198158,110.714577,106.584938,109.315674,97.673042,2604093
6/4/2008,114.786728,114.786728,102.541534,103.681732,92.63913,6661279
6/5/2008,103.681732,104.247047,100.701881,102.139107,91.260803,7580235
6/6/2008,103.863785,104.975243,101.180954,103.518852,92.493622,5212706
6/9/2008,103.480522,103.480522,96.706383,99.600006,88.992126,3099223
6/10/2008,97.827423,101.391747,97.022575,97.683701,87.279938,2960555
6/11/2008,99.034691,101.506729,95.33622,96.5914,86.303955,8614229
6/12/2008,95.671577,97.731606,91.407799,97.300438,86.937485,2954903
6/13/2008,99.734146,99.992844,96.83094,98.910133,88.37574,7333515
6/16/2008,98.114868,100.433594,97.539978,99.034691,91.135544,4343601
6/17/2008,99.034691,100.395271,98.689758,99.609589,91.664589,2217067
6/18/2008,100.222801,103.087677,98.756828,99.283813,91.364799,3794216
6/19/2008,96.821358,100.031174,96.25605,96.6968,88.984131,2301714
